star_id,Fe,Fe_err,C,C_err,O,O_err,raj2000,raj2000_err,decj2000,decj2000_err,x_pos,x_pos_err,y_pos,y_pos_err,z_pos,z_pos_err,dist,dist_err,disk,sptype,vmag,vmag_err,bv,bv_err,u_vel,u_vel_err,v_vel,v_vel_err,w_vel,w_vel_err,teff,teff_err,logg,logg_err,mass,mass_err,rad,rad_err,
2MASS J05331754-0208154 ,-0.22 ,0.04 ,-0.76 ,0.09 ,,,83.32313859 ,-2.23e-08/2.23e-08 ,-2.13763372 ,-1.84e-08/1.84e-08 ,43.733 ,,373.587 ,,-14.040 ,,376.40 ,-43.7/17.9 ,N/A ,,,,,,,,,,,,5327.5 ,-71.1/12.1 ,4.13 ,-0.0853/0.0853 ,1.01 ,-0.126/0.126 ,1.43 ,-0.0849/0.0849 ,
2MASS J05341283-0120379 ,-0.28 ,0.04 ,-0.69 ,0.09 ,,,83.55344833 ,-3.34e-09/3.34e-09 ,-1.34384820 ,-2.84e-09/2.84e-09 ,44.024 ,,389.623 ,,-9.198 ,,392.21 ,-2.91/7.5 ,N/A ,,,,,,,,,,,,5050.3 ,-18.8/74.1 ,4.12 ,-0.0735/0.0735 ,0.92 ,-0.11/0.11 ,1.38 ,-0.0701/0.0701 ,
2MASS J05344241-0015449 ,-0.07 ,0.04 ,-0.57 ,0.09 ,,,83.67671885 ,-1.04e-08/1.04e-08 ,-0.26249552 ,-9.26e-09/9.26e-09 ,48.542 ,,438.054 ,,-2.019 ,,440.74 ,-5.45/8.08 ,N/A ,,,,,,,,,,,,5630.4 ,-34.7/52.3 ,4.12 ,-0.0719/0.0719 ,1.05 ,-0.132/0.132 ,1.47 ,-0.0663/0.0663 ,
2MASS J05373645-0214375 ,-0.11 ,0.04 ,,,,,84.40188527 ,-5.06e-09/5.06e-09 ,-2.24376369 ,-4.3e-09/4.3e-09 ,9.487 ,,96.793 ,,-3.811 ,,97.33 ,-1.053/0.338 ,N/A ,M2.5 ,,,,,,,,,,,3583.6 ,-2.15/2.61 ,4.79 ,-0.00604/0.00604 ,0.44 ,-0.0204/0.0204 ,0.44 ,-0.0134/0.0134 ,
2MASS J05402827-0209321 ,-0.07 ,0.04 ,,,,,85.11782585 ,-6.36e-09/6.36e-09 ,-2.15897517 ,-5.57e-09/5.57e-09 ,8.322 ,,97.427 ,,-3.686 ,,97.85 ,-0.716/0.332 ,N/A ,,,,,,,,,,,,3435.4 ,-2.59/3.14 ,4.81 ,-0.00479/0.00479 ,0.41 ,-0.0204/0.0204 ,0.42 ,-0.0127/0.0127 ,
2MASS J05455935+0029208 ,0.20 ,0.04 ,,,,,86.49732551 ,-5.68e-09/5.68e-09 ,0.48909186 ,-4.82e-09/4.82e-09 ,4.658 ,,76.098 ,,0.651 ,,76.24 ,-0.262/0.298 ,N/A ,M3.0 ,,,,,,,,,,,3372.1 ,-18.2/41.4 ,4.84 ,-0.00225/0.00225 ,0.37 ,-0.0203/0.0203 ,0.38 ,-0.0114/0.0114 ,
2MASS J05465108+0036030 ,-0.03 ,0.04 ,,,,,86.71286311 ,-4.84e-09/4.84e-09 ,0.60083087 ,-4.05e-09/4.05e-09 ,5.080 ,,88.444 ,,0.929 ,,88.59 ,-0.289/1.35 ,N/A ,,,,,,,,,,,,5215.4 ,-16.8/66.3 ,4.66 ,-0.0108/0.0108 ,0.58 ,-0.0203/0.0203 ,0.59 ,-0.0177/0.0177 ,
2MASS J07310801+4127040 ,-0.21 ,0.04 ,,,,,112.78334027 ,-5.37e-09/5.37e-09 ,41.45108550 ,-3.81e-09/3.81e-09 ,-22.487 ,,53.539 ,,51.288 ,,77.48 ,-0.278/0.28 ,N/A ,M1.7 ,,,,,,,,,,,4027.0 ,-113.0/101.0 ,4.68 ,-0.01/0.01 ,0.56 ,-0.0203/0.0203 ,0.56 ,-0.0168/0.0168 ,
2MASS J07350513+3144406 ,0.16 ,0.04 ,,,,,113.77144750 ,-4.16e-09/4.16e-09 ,31.74463021 ,-3.95e-09/3.95e-09 ,-33.203 ,,75.383 ,,50.962 ,,96.86 ,-0.16/0.164 ,N/A ,K4 ,,,,,,,,,,,4696.3 ,-6.07/8.1 ,4.53 ,-0.0842/0.0842 ,0.74 ,-0.0888/0.0888 ,0.78 ,-0.0502/0.0502 ,
2MASS J07575895+4035155 ,-0.16 ,0.04 ,-0.93 ,0.09 ,,,119.49566581 ,-1.49e-08/1.49e-08 ,40.58763906 ,-1.4e-08/1.4e-08 ,-82.917 ,,146.580 ,,144.279 ,,221.76 ,-3.98/4.92 ,N/A ,,,,,,,,,,,,4763.6 ,-9.6/9.17 ,4.34 ,-0.0914/0.0914 ,0.75 ,-0.0848/0.0848 ,0.97 ,-0.0705/0.0705 ,
